Victor,Win Probability,Confidence,FanProb,DogProb,FavConf,DogConf,Underdog
@Cincinnati,0.682961631,7,0.94,0.06,6.6,3.1,Cleveland
Kansas City,0.556723453,2,0.7,0.06,4.1,2.8,@Buffalo
@Detroit,0.58431312,3,0.73,0.06,4,3,Miami
@New Orleans,0.639519072,4,0.86,0.06,4,3.4,San Francisco
Pittsburgh,0.64863897,5,0.95,0.06,7.3,3.8,@N.Y. Jets
Atlanta,0.53739622,1,0.75,0.06,3.9,2.8,@Tampa Bay
Dallas,0.700635432,8,0.89,0.06,6.4,3.1,@Jacksonville
@Baltimore,0.771938261,12,0.99,0.06,8.3,4.4,Tennessee
Denver,0.811397791,13,0.98,0.06,10.6,5.8,@Oakland
@Arizona,0.70919588,9,0.97,0.06,7.8,3.7,St. Louis
@Seattle,0.750585392,11,0.97,0.06,8.1,3.4,N.Y. Giants
@Green Bay,0.709261157,10,0.95,0.06,7.1,2.9,Chicago
@Philadelphia,0.679388454,6,0.87,0.06,5.7,3.2,Carolina
