Victor,WinProbability,Confidence,FanProb,DogProb,FavConf,DogConf
@Detroit,0.698309895,14,0.89,0.11,8.9,4.1
@Dallas,0.586242769,7,0.72,0.28,6,4.6
@San Francisco,0.525026502,1,0.5,0.5,3.9,4.4
@St. Louis,0.69856756,15,0.96,0.04,10.1,4.4
@Pittsburgh,0.588233246,9,0.84,0.16,6.6,5.1
Cincinnati,0.61397395,10,0.92,0.08,9.4,5
@Minnesota,0.571670968,4,0.7,0.3,5.1,4.8
@Indianapolis,0.766637136,16,0.99,0.01,12.8,5.9
@Houston,0.678014299,13,0.94,0.06,9.2,4.6
@Buffalo,0.548436199,2,0.58,0.42,5.1,4.8
N.Y. Giants,0.580116235,6,0.88,0.12,8.3,4.4
@Baltimore,0.632358505,11,0.85,0.15,7.3,5.3
Arizona,0.57664393,5,0.86,0.14,8.4,5.2
@Green Bay,0.588011149,8,0.65,0.35,5.1,4.9
Denver,0.555298698,3,0.73,0.27,7.1,4.1
Miami,0.636086345,12,0.93,0.07,9.4,5.8
